,Neg1rep1,Neg1rep2,Neg1rep3,Nov_VK1rep1,Nov_VK1rep2,Nov_VK1rep3,Nov_VK3rep1,Nov_VK3rep2,Nov_VK3rep3,Nov_VK5rep1,Nov_VK5rep2,Nov_VK5rep3,Nov_unenriched1rep1,Nov_unenriched1rep2,Nov_unenriched1rep3,Nov_unenriched2rep1,Nov_unenriched2rep2,Nov_unenriched2rep3,Nov_unenriched3rep1,Nov_unenriched3rep2,Nov_unenriched3rep3
58226462,15,15,16,66,58,53,32,32,35,46,43,43,63,62,60,61,65,63,62,62,60
58233191,0,0,0,6,4,4,2,3,2,0,1,2,2,0,0,0,0,2,2,1,0
58257839,0,0,0,6,8,7,7,6,6,6,5,5,4,4,4,5,5,4,6,4,5
58263461,0,0,0,10,8,7,1,3,2,1,0,1,3,5,4,3,4,2,4,4,4
58267232,0,0,0,8,4,6,4,0,3,4,5,8,10,8,8,7,5,7,7,7,9
58272875,0,0,0,5,0,5,0,0,0,0,0,0,25,28,25,24,22,23,29,21,27
58278920,0,0,0,3,0,3,0,0,0,0,0,0,7,7,9,9,7,6,7,6,8
58280335,0,0,1,6,11,12,22,22,21,17,18,16,9,8,8,8,9,10,8,9,11
58281188,0,0,0,4,4,4,4,2,6,4,4,2,3,1,2,2,2,1,4,4,4
58282764,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,6,4,6,3,0,2
58283832,3,8,5,51,50,56,22,22,23,35,37,35,84,66,61,79,75,66,83,76,78
58289870,1,0,0,5,0,0,0,0,0,0,0,0,5,4,4,4,4,4,3,4,4
58303486,0,0,0,0,2,3,3,5,2,6,7,4,4,4,3,4,4,4,4,4,2
58303947,4,4,3,21,21,21,16,17,15,21,21,24,18,13,20,14,15,11,14,12,13
58317121,3,6,7,7,7,7,10,8,9,5,5,5,14,18,18,16,18,17,19,18,16
58318457,6,8,5,8,8,8,8,8,8,5,4,5,36,43,37,38,40,37,36,43,41
58328155,0,0,0,4,6,4,0,0,1,0,0,0,4,4,3,3,2,1,2,4,4
58332083,0,0,0,6,8,7,7,6,6,6,5,5,4,4,4,5,5,4,6,4,5
58336999,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,2,0,0,4,5,0
58339360,0,0,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58341277,6,9,7,22,20,23,30,23,28,22,23,21,40,46,43,45,44,43,47,47,41
58343360,3,4,5,7,8,9,9,11,10,9,10,9,7,7,7,9,6,8,8,9,8
58345161,0,0,0,6,7,8,6,10,9,7,8,8,4,4,4,4,3,4,4,4,4
58348710,9,11,9,73,62,67,25,27,22,56,56,55,134,117,110,124,112,112,114,120,114
58371576,20,19,20,59,71,51,54,50,62,60,70,57,40,37,38,37,39,37,40,39,39
58388428,10,8,11,69,46,60,85,98,77,86,81,85,125,122,125,123,104,108,111,123,112
58416621,0,0,0,5,4,4,4,5,2,2,2,2,5,6,6,5,6,6,6,6,6
58421738,0,0,0,0,3,3,0,0,0,0,0,0,5,4,4,4,4,4,1,2,0
58429334,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,6,7,5,6,3,4
58434583,0,0,0,0,0,4,0,0,0,0,0,0,2,4,3,2,2,2,2,3,3
58448894,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,5,4,0,5,4,3
58453185,6,8,6,16,17,15,12,10,13,15,12,12,25,36,28,25,22,24,28,26,23
58454880,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4,6,2,3,6,4,3
58461266,0,0,0,4,3,6,2,2,2,1,1,1,2,2,3,3,2,2,4,4,2
58464184,0,0,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58466413,5,9,9,3,4,8,0,0,0,0,0,0,16,17,19,17,17,15,17,17,11
58472738,0,0,0,2,0,0,0,0,0,0,0,0,3,3,4,3,4,4,5,4,4
58478958,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,2,3,4,3,4,4
58484313,0,0,0,2,2,0,0,0,0,0,0,0,2,4,4,2,2,1,2,2,2
58489017,0,0,0,1,2,1,0,0,0,1,1,0,28,24,20,27,28,22,24,27,21
58500339,0,0,0,0,3,3,0,0,0,0,0,0,4,4,5,5,4,4,4,4,4
58500865,2,2,2,0,0,0,0,0,0,0,0,0,8,7,8,8,11,9,7,11,10
58526462,0,0,0,1,3,2,4,5,6,3,0,3,2,2,4,2,4,2,5,4,3
58527538,15,22,25,16,20,17,27,24,24,21,19,22,64,65,59,62,64,64,70,66,65
58529013,4,4,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58543796,0,0,0,9,5,10,5,6,5,5,5,5,4,5,7,5,4,6,7,6,5
58549526,2,3,4,8,7,7,4,4,6,7,6,7,3,1,2,3,1,0,2,3,2
58551315,0,0,0,3,6,6,2,0,3,3,3,3,4,4,4,4,4,4,4,4,4
58552473,7,7,5,0,0,0,0,0,0,0,0,0,4,3,2,2,1,2,2,2,4
58557878,4,3,1,15,17,16,15,13,13,13,12,13,26,27,28,24,25,30,33,33,30
58572267,12,10,14,9,8,9,4,0,5,8,9,9,11,9,11,12,12,13,14,12,13
58577931,0,0,0,4,4,4,1,0,0,1,0,2,0,2,2,1,0,2,0,2,1
58604922,0,0,0,0,0,0,0,0,0,0,0,0,6,7,9,9,9,9,6,8,8
58617970,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,5,3,6,4,4,3
58625412,7,5,5,8,10,7,2,5,5,3,3,3,8,6,7,6,8,5,8,5,8
58632847,0,0,0,0,4,3,2,2,1,4,3,2,5,3,2,4,7,6,4,6,5
58641200,0,0,0,5,5,5,0,0,0,0,0,0,0,0,1,4,2,4,0,2,0
58666635,5,4,5,22,25,19,23,19,20,19,18,19,40,37,41,43,40,36,43,36,37
